node	magic
-100	0
-128.000000_S1	0
-16.000000_S1	0
-256.000000_S1	0
-32.000000_S1	0
-4.000000_S1	0
-64.000000_S1	0
-8.000000_S1	0
1	0
100	0
128.000000_S1	1
16.000000_S1	1
2.000000_S1	0
256.000000_S1	1
32.000000_S1	1
4.000000_S1	1
64.000000_S1	1
8.000000_S1	1
