node	magic
-100	0
-12.000000_S2	0
-128.000000_S1	0
-128.000000_S2	0
-16.000000_S2	0
-256.000000_S1	0
-256.000000_S2	0
-32.000000_S1	0
-32.000000_S2	0
-512.000000_S2	0
-528.000000_S1	0
-64.000000_S1	0
-64.000000_S2	0
-8.000000_S1	0
1	0
100	0
12.000000_S2	1
128.000000_S1	1
128.000000_S2	1
16.000000_S2	1
2.000000_S2	0
256.000000_S1	1
256.000000_S2	1
32.000000_S1	1
32.000000_S2	1
512.000000_S2	1
528.000000_S1	1
6.000000_S1	0
64.000000_S1	1
64.000000_S2	1
8.000000_S1	1
