3	18	4	21
3	18	4	22
3	19	4	21
3	19	4	22
3	18	4	20	14
3	19	4	20	14
3	17	10	4	21
3	17	10	4	22
3	17	10	4	20	14
3	17	9
4	20	12
4	20	13
