1	5	4	20	11
1	6	4	20	11
1	5	4	20	14	3	17	8
1	6	4	20	14	3	17	8
1	5	4	21	3	17	8
1	5	4	22	3	17	8
1	6	4	21	3	17	8
1	6	4	22	3	17	8
1	7	3	17	8
1	7	3	17	10	4	20	11
1	7	3	18	4	20	11
1	7	3	19	4	20	11
2	15	3	17	8
2	15	3	17	10	4	20	11
2	15	3	18	4	20	11
2	15	3	19	4	20	11
2	16	4	20	11
2	16	4	20	14	3	17	8
2	16	4	21	3	17	8
2	16	4	22	3	17	8
