-100	1	10.000000_S1	C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	10.000000_S1	C2	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	10.000000_S1	C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	-z^-1C0	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	C2	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	-z^-1C0	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	z^-1C0	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	C2	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	C2	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	z^-1C0	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	-z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	10.000000_S1	-z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	-z^-1C0	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	10.000000_S1	-z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	z^-1C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	10.000000_S1	-z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	z^-1C0	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	2.000000_S2	C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	2.000000_S2	C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	-z^-1C0	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	2.000000_S2	C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	z^-1C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	2.000000_S2	C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	z^-1C0	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	2.000000_S2	-z^-1C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	1	100
-100	1	2.000000_S2	-z^-1C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	OP-	192.000000_S1	-z^-1C0	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	2.000000_S2	-z^-1C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	z^-1C1	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
-100	1	2.000000_S2	-z^-1C1	-52.000000_S1	(1/(+C3+C2+C1+C0))	52.000000_S1	z^-1C0	-4.000000_S2	(1/(+C1+C0))	4.000000_S2	OP-	128.000000_S2	1	100
