-16.000000_S1	16.000000_S1	-1024.000000_S1	1024.000000_S1
-1024.000000_S1	1024.000000_S1	-4096.000000_S1	4096.000000_S1
-16.000000_S1	16.000000_S1	-1024.000000_S1	1024.000000_S1	-4096.000000_S1	4096.000000_S1	-256.000000_S1	256.000000_S1
-1024.000000_S1	1024.000000_S1	-4096.000000_S1	4096.000000_S1	-256.000000_S1	256.000000_S1	-512.000000_S1	512.000000_S1
-1024.000000_S1	1024.000000_S1	-512.000000_S1	512.000000_S1
