4	30	5	12	15	10	33	19	8	25
4	30	5	12	15	10	33	20	11	35	17	9	31	26
4	30	5	12	15	10	33	20	11	35	17	9	31	29	6	21
4	30	5	12	15	10	33	20	11	35	17	9	31	29	6	22	7	23
4	30	5	12	15	10	33	20	11	35	17	9	31	29	6	22	7	24	8	25
4	30	5	12	15	10	33	20	11	36	9	31	26
4	30	5	12	15	10	33	20	11	36	9	31	29	6	21
4	30	5	12	15	10	33	20	11	36	9	31	29	6	22	7	23
4	30	5	12	15	10	33	20	11	36	9	31	29	6	22	7	24	8	25
4	30	5	12	15	10	34	11	35	17	9	31	26
4	30	5	12	15	10	34	11	35	17	9	31	29	6	21
4	30	5	12	15	10	34	11	35	17	9	31	29	6	22	7	23
4	30	5	12	15	10	34	11	35	17	9	31	29	6	22	7	24	8	25
4	30	5	12	15	10	34	11	36	9	31	26
4	30	5	12	15	10	34	11	36	9	31	29	6	21
4	30	5	12	15	10	34	11	36	9	31	29	6	22	7	23
4	30	5	12	15	10	34	11	36	9	31	29	6	22	7	24	8	25
4	30	5	13	10	33	19	8	25
4	30	5	13	10	33	20	11	35	17	9	31	26
4	30	5	13	10	33	20	11	35	17	9	31	29	6	21
4	30	5	13	10	33	20	11	35	17	9	31	29	6	22	7	23
4	30	5	13	10	33	20	11	35	17	9	31	29	6	22	7	24	8	25
4	30	5	13	10	33	20	11	36	9	31	26
4	30	5	13	10	33	20	11	36	9	31	29	6	21
4	30	5	13	10	33	20	11	36	9	31	29	6	22	7	23
4	30	5	13	10	33	20	11	36	9	31	29	6	22	7	24	8	25
4	30	5	13	10	34	11	35	17	9	31	26
4	30	5	13	10	34	11	35	17	9	31	29	6	21
4	30	5	13	10	34	11	35	17	9	31	29	6	22	7	23
4	30	5	13	10	34	11	35	17	9	31	29	6	22	7	24	8	25
4	30	5	13	10	34	11	36	9	31	26
4	30	5	13	10	34	11	36	9	31	29	6	21
4	30	5	13	10	34	11	36	9	31	29	6	22	7	23
4	30	5	13	10	34	11	36	9	31	29	6	22	7	24	8	25
