source	weight	destination
-100	1	1
-6	(1/(G5+G6))	6
-4	(1/(G4+sC2))	4
-2	(1/(G1+G2+G3+sC1))	2
1	G1	-2
2	OP-	3
3	G3	-2
3	sC1	-2
3	G4	-4
4	OP-	5
5	sC2	-4
5	G5	-6
6	OP-	7
7	1	100
7	G2	-2
7	G6	-6
