-2	(1/(G1+G2+G3+sC1))	2	OP-	3	alternatives[G3 | sC1]	-2
-2	(1/(G1+G2+G3+sC1))	2	OP-	3	alternatives[G3 | sC1]	-2
-4	(1/(G4+sC2))	4	OP-	5	sC2	-4
-2	(1/(G1+G2+G3+sC1))	2	OP-	3	G4	-4	(1/(G4+sC2))	4	OP-	5	G5	-6	(1/(G5+G6))	6	OP-	7	G2	-2
-6	(1/(G5+G6))	6	OP-	7	G6	-6
