node	magic
-100	0
-16.000000_S2	0
-256.000000_S2	0
-35200.000000_S1	0
-8216.000000_S1	0
1	0
100	0
16.000000_S2	1
16390.000000_S1	0
2.000000_S2	0
256.000000_S2	1
32.000000_S2	0
35200.000000_S1	1
512.000000_S2	0
5632.000000_S1	0
8216.000000_S1	1
96.000000_S1	0
