source	weight	destination
-100	1	1
-3	(1/(sC3+G5))	3
-2	(1/(G1+G2+sC3+sC4))	2
1	G1	-2
2	sC3	-3
3	sC3	-2
3	OP-	4
4	1	100
4	G5	-3
4	sC4	-2
