node	magic
-100	0
-12.000000_S2	0
-32.000000_S2	0
-8.000000_S1	0
1	0
100	0
12.000000_S2	1
16.000000_S2	0
2.000000_S2	0
32.000000_S2	1
48.000000_S1	0
6.000000_S1	0
8.000000_S1	1
