-256.000000_S2	256.000000_S2	-35200.000000_S1	35200.000000_S1
-256.000000_S2	256.000000_S2	-35200.000000_S1	35200.000000_S1
-256.000000_S2	256.000000_S2	-35200.000000_S1	35200.000000_S1
-256.000000_S2	256.000000_S2	-35200.000000_S1	35200.000000_S1
-256.000000_S2	256.000000_S2	512.000000_S2	-35200.000000_S1	35200.000000_S1
-256.000000_S2	256.000000_S2	512.000000_S2	-35200.000000_S1	35200.000000_S1
-256.000000_S2	256.000000_S2	-35200.000000_S1	35200.000000_S1	5632.000000_S1
-256.000000_S2	256.000000_S2	-35200.000000_S1	35200.000000_S1	5632.000000_S1
-256.000000_S2	256.000000_S2	512.000000_S2	-35200.000000_S1	35200.000000_S1	5632.000000_S1
-35200.000000_S1	35200.000000_S1	5632.000000_S1	-8216.000000_S1	8216.000000_S1	96.000000_S1
-35200.000000_S1	35200.000000_S1	5632.000000_S1
-35200.000000_S1	35200.000000_S1	5632.000000_S1
-256.000000_S2	256.000000_S2	512.000000_S2
-16.000000_S2	16.000000_S2	-8216.000000_S1	8216.000000_S1
-16.000000_S2	16.000000_S2	32.000000_S2	-8216.000000_S1	8216.000000_S1
-16.000000_S2	16.000000_S2	-8216.000000_S1	8216.000000_S1	96.000000_S1
-16.000000_S2	16.000000_S2	32.000000_S2	-8216.000000_S1	8216.000000_S1	96.000000_S1
-8216.000000_S1	8216.000000_S1	96.000000_S1
-16.000000_S2	16.000000_S2	32.000000_S2
