4	16	5	21
4	16	5	22
4	17	5	21
4	17	5	22
4	15	25	5	21
4	15	25	5	22
4	16	5	20	30
4	17	5	20	30
4	15	25	5	20	30
5	20	29	6	31	34
5	20	27
5	20	28
4	15	24
3	8	6	32
3	7	19	6	32
3	8	6	31	35
3	7	19	6	31	35
6	31	33
3	7	18
