id	label	source	weight	destination
e001	1	-100	1	1
e002	(1/(G4+G5))	-7	(1/(G4+G5))	7
e003	(1/(sC2+G2))	-5	(1/(sC2+G2))	5
e004	(1/(sC1+G3+sC2))	-4	(1/(sC1+G3+sC2))	4
e005	(1/(G1+sC3+G2))	-2	(1/(G1+sC3+G2))	2
e006	G1	1	G1	-2
e007	sC1	1	sC1	-4
e008	G2	2	G2	-5
e009	sC3	3	sC3	-2
e010	G3	3	G3	-4
e011	sC2	4	sC2	-5
e012	sC2	5	sC2	-4
e013	G2	5	G2	-2
e014	(1/(1+A))	5	(1/(1+A))	6
e015	1	6	1	100
e016	G4	6	G4	-7
e017	(1/(1+A))	7	(1/(1+A))	3
