-128.000000_S2	128.000000_S2	-256.000000_S2	256.000000_S2	-32.000000_S2	32.000000_S2	-64.000000_S2	64.000000_S2
-12.000000_S2	12.000000_S2	-128.000000_S2	128.000000_S2	-256.000000_S2	256.000000_S2	-32.000000_S2	32.000000_S2	-16.000000_S2	16.000000_S2
-12.000000_S2	12.000000_S2	-128.000000_S2	128.000000_S2	-256.000000_S2	256.000000_S2	-16.000000_S2	16.000000_S2
-12.000000_S2	12.000000_S2	-128.000000_S2	128.000000_S2	-16.000000_S2	16.000000_S2
-256.000000_S2	256.000000_S2	-32.000000_S2	32.000000_S2
-32.000000_S2	32.000000_S2	-64.000000_S2	64.000000_S2
-528.000000_S1	528.000000_S1	-8.000000_S1	8.000000_S1
-128.000000_S1	128.000000_S1	-528.000000_S1	528.000000_S1	-8.000000_S1	8.000000_S1
-128.000000_S1	128.000000_S1	-256.000000_S1	256.000000_S1	-528.000000_S1	528.000000_S1	-8.000000_S1	8.000000_S1
-128.000000_S1	128.000000_S1	-256.000000_S1	256.000000_S1	-32.000000_S1	32.000000_S1	-528.000000_S1	528.000000_S1	-8.000000_S1	8.000000_S1
-12.000000_S2	12.000000_S2	-8.000000_S1	8.000000_S1	-528.000000_S1	528.000000_S1
-12.000000_S2	12.000000_S2	-8.000000_S1	8.000000_S1	-128.000000_S1	128.000000_S1	-528.000000_S1	528.000000_S1
-12.000000_S2	12.000000_S2	-8.000000_S1	8.000000_S1	-128.000000_S1	128.000000_S1	-256.000000_S1	256.000000_S1	-528.000000_S1	528.000000_S1
-12.000000_S2	12.000000_S2	-8.000000_S1	8.000000_S1	-128.000000_S1	128.000000_S1	-256.000000_S1	256.000000_S1	-32.000000_S1	32.000000_S1	-528.000000_S1	528.000000_S1
-12.000000_S2	12.000000_S2	-16.000000_S2	16.000000_S2
-32.000000_S1	32.000000_S1	-64.000000_S1	64.000000_S1
-128.000000_S1	128.000000_S1	-256.000000_S1	256.000000_S1	-32.000000_S1	32.000000_S1	-64.000000_S1	64.000000_S1
-256.000000_S1	256.000000_S1	-32.000000_S1	32.000000_S1
