source	weight	destination
-100	1	1
-5	(1/(G3+G4))	5
-4	(1/(G2+sC2))	4
-2	(1/(G1+sC1+G2))	2
1	G1	-2
2	G2	-4
3	1	100
3	sC1	-2
3	G3	-5
4	G2	-2
4	OP+	3
5	OP-	3
