-128.000000_S1	1/(s.CgsM4S1+s.CgsM4sS1+s.CgsM5S1+gmM5S1+gdsM5S1+s.CgsM5sS1)	128.000000_S1	gmM5S1	-256.000000_S1	1/(gdsM5S1+s.CgsM5S1+s.CdsM5S1+gdsM5sS1+s.CdsM5sS1)	256.000000_S1	gmM5S1	-128.000000_S1
-2048.000000_S1	1/(s.CgsP1S1+s.CgsP1sS1+gmP1sS1+gdsP1sS1+s.CgsP2S1+s.CgsP2sS1+gdsM0S1+s.CdsM0S1)	2048.000000_S1	-gmP2S1	-8192.000000_S1	1/(gdsP2S1+s.CdsP2S1+gdsP2sS1+s.CgsP2sS1+s.CdsP2sS1)	8192.000000_S1	gmP2sS1	-8.000000_S1	1/(s.C1+gdsP2sS1+s.CdsP2sS1+gdsM3S1+s.CdsM3S1)	8.000000_S1	C1	-4.000000_S1	1/(G1+s.C1+s.CgsM3S1+s.CgsM3sS1)	4.000000_S1	gmM3sS1	-32.000000_S1	1/(gdsM0sS1+s.CgsM0sS1+s.CdsM0sS1+gdsM3sS1+s.CgsM3sS1+s.CdsM3sS1+gdsM4S1+s.CdsM4S1)	32.000000_S1	gmM0sS1	-4096.000000_S1	1/(gdsM0S1+s.CgsM0S1+s.CdsM0S1+gdsM0sS1+s.CdsM0sS1)	4096.000000_S1	gmM0S1	-2048.000000_S1
-2048.000000_S1	1/(s.CgsP1S1+s.CgsP1sS1+gmP1sS1+gdsP1sS1+s.CgsP2S1+s.CgsP2sS1+gdsM0S1+s.CdsM0S1)	2048.000000_S1	-gmP2sS1	-8.000000_S1	1/(s.C1+gdsP2sS1+s.CdsP2sS1+gdsM3S1+s.CdsM3S1)	8.000000_S1	C1	-4.000000_S1	1/(G1+s.C1+s.CgsM3S1+s.CgsM3sS1)	4.000000_S1	gmM3sS1	-32.000000_S1	1/(gdsM0sS1+s.CgsM0sS1+s.CdsM0sS1+gdsM3sS1+s.CgsM3sS1+s.CdsM3sS1+gdsM4S1+s.CdsM4S1)	32.000000_S1	gmM0sS1	-4096.000000_S1	1/(gdsM0S1+s.CgsM0S1+s.CdsM0S1+gdsM0sS1+s.CdsM0sS1)	4096.000000_S1	gmM0S1	-2048.000000_S1
-2048.000000_S1	1/(s.CgsP1S1+s.CgsP1sS1+gmP1sS1+gdsP1sS1+s.CgsP2S1+s.CgsP2sS1+gdsM0S1+s.CdsM0S1)	2048.000000_S1	gmP1S1	-512.000000_S1	1/(gdsP1S1+s.CgsP1S1+s.CdsP1S1+gdsP2S1+s.CgsP2S1+s.CdsP2S1)	512.000000_S1	gmP2S1	-8192.000000_S1	1/(gdsP2S1+s.CdsP2S1+gdsP2sS1+s.CgsP2sS1+s.CdsP2sS1)	8192.000000_S1	gmP2sS1	-8.000000_S1	1/(s.C1+gdsP2sS1+s.CdsP2sS1+gdsM3S1+s.CdsM3S1)	8.000000_S1	C1	-4.000000_S1	1/(G1+s.C1+s.CgsM3S1+s.CgsM3sS1)	4.000000_S1	gmM3sS1	-32.000000_S1	1/(gdsM0sS1+s.CgsM0sS1+s.CdsM0sS1+gdsM3sS1+s.CgsM3sS1+s.CdsM3sS1+gdsM4S1+s.CdsM4S1)	32.000000_S1	gmM0sS1	-4096.000000_S1	1/(gdsM0S1+s.CgsM0S1+s.CdsM0S1+gdsM0sS1+s.CdsM0sS1)	4096.000000_S1	gmM0S1	-2048.000000_S1
-16.000000_S1	1/(gdsM3S1+s.CgsM3S1+s.CdsM3S1+gdsM3sS1+s.CdsM3sS1)	16.000000_S1	gmM3S1	-8.000000_S1	1/(s.C1+gdsP2sS1+s.CdsP2sS1+gdsM3S1+s.CdsM3S1)	8.000000_S1	C1	-4.000000_S1	1/(G1+s.C1+s.CgsM3S1+s.CgsM3sS1)	4.000000_S1	gmM3sS1	-32.000000_S1	1/(gdsM0sS1+s.CgsM0sS1+s.CdsM0sS1+gdsM3sS1+s.CgsM3sS1+s.CdsM3sS1+gdsM4S1+s.CdsM4S1)	32.000000_S1	gmM3sS1	-16.000000_S1
-1024.000000_S1	1/(gdsP1S1+s.CdsP1S1+gdsP1sS1+s.CgsP1sS1+s.CdsP1sS1)	1024.000000_S1	gmP1sS1	-2048.000000_S1	1/(s.CgsP1S1+s.CgsP1sS1+gmP1sS1+gdsP1sS1+s.CgsP2S1+s.CgsP2sS1+gdsM0S1+s.CdsM0S1)	2048.000000_S1	gmP1S1	-512.000000_S1	1/(gdsP1S1+s.CgsP1S1+s.CdsP1S1+gdsP2S1+s.CgsP2S1+s.CdsP2S1)	512.000000_S1	gmP1S1	-1024.000000_S1
-1024.000000_S1	1/(gdsP1S1+s.CdsP1S1+gdsP1sS1+s.CgsP1sS1+s.CdsP1sS1)	1024.000000_S1	gmP1sS1	-2048.000000_S1	1/(s.CgsP1S1+s.CgsP1sS1+gmP1sS1+gdsP1sS1+s.CgsP2S1+s.CgsP2sS1+gdsM0S1+s.CdsM0S1)	2048.000000_S1	-gmP1S1	-1024.000000_S1
-4.000000_S1	1/(G1+s.C1+s.CgsM3S1+s.CgsM3sS1)	4.000000_S1	C1	-8.000000_S1	1/(s.C1+gdsP2sS1+s.CdsP2sS1+gdsM3S1+s.CdsM3S1)	8.000000_S1	C1	-4.000000_S1
-16.000000_S1	1/(gdsM3S1+s.CgsM3S1+s.CdsM3S1+gdsM3sS1+s.CdsM3sS1)	16.000000_S1	gmM3S1	-8.000000_S1	1/(s.C1+gdsP2sS1+s.CdsP2sS1+gdsM3S1+s.CdsM3S1)	8.000000_S1	C1	-4.000000_S1	1/(G1+s.C1+s.CgsM3S1+s.CgsM3sS1)	4.000000_S1	gmM3S1	-16.000000_S1
