source	weight	destination
-100	1	1
-4	(1/(G3+G5))	4
-3	(1/(G6+sC1+G1))	3
-2	(1/(sC2+G6+G2+G4))	2
1	sC2	-2
1	G3	-4
2	G6	-3
3	G6	-2
3	OP-	5
4	OP+	5
5	1	100
5	sC1	-3
5	G4	-2
